service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
A1, 1, 1, 1, 1, 1, 0, 0, 20160101, 20161125
A2, 0, 0, 0, 0, 0, 1, 0, 20160101, 20161125
A3, 0, 0, 0, 0, 0, 0, 1, 20160101, 20161125
A4, 0, 0, 0, 0, 0, 1, 1, 20160101, 20161125
B1, 1, 1, 1, 1, 1, 0, 0, 20161126, 20161202
B2, 0, 0, 0, 0, 0, 1, 0, 20161126, 20161202
B3, 0, 0, 0, 0, 0, 0, 1, 20161126, 20161202
B4, 0, 0, 0, 0, 0, 1, 1, 20161126, 20161202
C1, 1, 1, 1, 1, 1, 0, 0, 20161203, 20161209
C2, 0, 0, 0, 0, 0, 1, 0, 20161203, 20161209
C3, 0, 0, 0, 0, 0, 0, 1, 20161203, 20161209
C4, 0, 0, 0, 0, 0, 1, 1, 20161203, 20161209
D1, 1, 1, 1, 1, 1, 0, 0, 20161210, 20161220
D2, 0, 0, 0, 0, 0, 1, 0, 20161210, 20161220
D3, 0, 0, 0, 0, 0, 0, 1, 20161210, 20161220
D4, 0, 0, 0, 0, 0, 1, 1, 20161210, 20161220
A1A, 1, 1, 1, 1, 1, 0, 0, 20161221, 20170505
A2A, 0, 0, 0, 0, 0, 1, 0, 20161221, 20170505
A3A, 0, 0, 0, 0, 0, 0, 1, 20161221, 20170505
A4A, 0, 0, 0, 0, 0, 1, 1, 20161221, 20170505
