service_id, monday, tuesday, wednesday, thursday, friday, saturday, sunday, start_date, end_date
A1, 1, 1, 1, 1, 1, 0, 0, 20170101, 20170611
A2, 0, 0, 0, 0, 0, 1, 0, 20170101, 20170611
A3, 0, 0, 0, 0, 0, 0, 1, 20170101, 20170611
A4, 0, 0, 0, 0, 0, 1, 1, 20170101, 20170611
B1, 1, 1, 1, 1, 1, 0, 0, 20170612, 20170618
B2, 0, 0, 0, 0, 0, 1, 0, 20170612, 20170618
B3, 0, 0, 0, 0, 0, 0, 1, 20170612, 20170618
B4, 0, 0, 0, 0, 0, 1, 1, 20170612, 20170618
C1, 1, 1, 1, 1, 1, 0, 0, 20170619, 20170625
C2, 0, 0, 0, 0, 0, 1, 0, 20170619, 20170625
C3, 0, 0, 0, 0, 0, 0, 1, 20170619, 20170625
C4, 0, 0, 0, 0, 0, 1, 1, 20170619, 20170625
D1, 1, 1, 1, 1, 1, 0, 0, 20170626, 20170702
D2, 0, 0, 0, 0, 0, 1, 0, 20170626, 20170702
D3, 0, 0, 0, 0, 0, 0, 1, 20170626, 20170702
D4, 0, 0, 0, 0, 0, 1, 1, 20170626, 20170702
E1, 1, 1, 1, 1, 1, 0, 0, 20170703, 20170709
E2, 0, 0, 0, 0, 0, 1, 0, 20170703, 20170709
E3, 0, 0, 0, 0, 0, 0, 1, 20170703, 20170709
E4, 0, 0, 0, 0, 0, 1, 1, 20170703, 20170709
F1, 1, 1, 1, 1, 1, 0, 0, 20170710, 20170716
F2, 0, 0, 0, 0, 0, 1, 0, 20170710, 20170716
F3, 0, 0, 0, 0, 0, 0, 1, 20170710, 20170716
F4, 0, 0, 0, 0, 0, 1, 1, 20170710, 20170716
G1, 1, 1, 1, 1, 1, 0, 0, 20170717, 20170915
G2, 0, 0, 0, 0, 0, 1, 0, 20170717, 20170915
G3, 0, 0, 0, 0, 0, 0, 1, 20170717, 20170915
G4, 0, 0, 0, 0, 0, 1, 1, 20170717, 20170915
A1A, 1, 1, 1, 1, 1, 0, 0, 20170916, 20171203
A2A, 0, 0, 0, 0, 0, 1, 0, 20170916, 20171203
A3A, 0, 0, 0, 0, 0, 0, 1, 20170916, 20171203
A4A, 0, 0, 0, 0, 0, 1, 1, 20170916, 20171203
